[x11grab @ 0x55a64aa3d000] Stream #0: not enough frames to estimate rate; consider increasing probesize
Input #0, x11grab, from ':99.0+0,0':
  Duration: N/A, start: 1790429374.547252, bitrate: 983520 kb/s
  Stream #0:0: Video: rawvideo (BGR[0] / 0x524742), bgr0, 1366x900, 983520 kb/s, 25 fps, 1000k tbr, 1000k tbn
Stream mapping:
  Stream #0:0 -> #0:0 (rawvideo (native) -> h264 (libx264))
Press [q] to stop, [?] for help
[libx264 @ 0x55a64aa45cc0] using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2 AVX FMA3 BMI2 AVX2 AVX512
[libx264 @ 0x55a64aa45cc0] profile High, level 3.2, 4:2:0, 8-bit
[libx264 @ 0x55a64aa45cc0] 264 - core 164 r3108 31e19f9 - H.264/MPEG-4 AVC codec - Copyleft 2003-2023 - http://www.videolan.org/x264.html - options: cabac=1 ref=2 deblock=1:0:0 analyse=0x3:0x113 me=hex subme=6 psy=1 psy_rd=1.00:0.00 mixed_ref=1 me_range=16 chroma_me=1 trellis=1 8x8dct=1 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=-2 threads=3 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=30 rc=abr mbtree=1 bitrate=1021 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=1083 vbv_bufsize=2166 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
Output #0, mp4, to '/home/runner/work/Auto_Browser/Auto_Browser/recordings/oncc/latest.mp4':
  Metadata:
    encoder         : Lavf60.16.100
  Stream #0:0: Video: h264 (avc1 / 0x31637661), yuv420p(tv, progressive), 1366x900, q=2-31, 1021 kb/s, 25 fps, 12800 tbn
    Metadata:
      encoder         : Lavc60.31.102 libx264
    Side data:
      cpb: bitrate max/min/avg: 1083000/0/1021000 buffer size: 2166000 vbv_delay: N/A
frame=    0 fps=0.0 q=0.0 size=       0kB time=N/A bitrate=N/A speed=N/A    
frame=    0 fps=0.0 q=0.0 size=       0kB time=N/A bitrate=N/A speed=N/A    
frame=    0 fps=0.0 q=0.0 size=       0kB time=N/A bitrate=N/A speed=N/A    
frame=    5 fps=3.2 q=41.0 size=       0kB time=00:00:00.08 bitrate=   4.8kbits/s speed=0.0512x    
frame=   17 fps=8.2 q=37.0 size=       0kB time=00:00:00.60 bitrate=   0.6kbits/s speed=0.288x    
frame=   30 fps= 12 q=30.0 size=       0kB time=00:00:01.12 bitrate=   0.3kbits/s speed=0.431x    
frame=   43 fps= 14 q=27.0 size=       0kB time=00:00:01.64 bitrate=   0.2kbits/s speed=0.526x    
frame=   56 fps= 15 q=25.0 size=       0kB time=00:00:02.16 bitrate=   0.2kbits/s speed=0.593x    
frame=   70 fps= 17 q=24.0 size=       0kB time=00:00:02.68 bitrate=   0.1kbits/s speed=0.644x    
frame=   82 fps= 18 q=22.0 size=       0kB time=00:00:03.20 bitrate=   0.1kbits/s speed=0.684x    
frame=   95 fps= 18 q=21.0 size=     256kB time=00:00:03.72 bitrate= 563.9kbits/s speed=0.715x    
frame=  108 fps= 19 q=20.0 size=     256kB time=00:00:04.24 bitrate= 494.7kbits/s speed=0.741x    
frame=  122 fps= 20 q=19.0 size=     256kB time=00:00:04.76 bitrate= 440.7kbits/s speed=0.762x    
frame=  134 fps= 20 q=18.0 size=     256kB time=00:00:05.28 bitrate= 397.3kbits/s speed=0.781x    
frame=  147 fps= 20 q=17.0 size=     256kB time=00:00:05.80 bitrate= 361.6kbits/s speed=0.797x    
frame=  161 fps= 21 q=16.0 size=     512kB time=00:00:06.32 bitrate= 663.7kbits/s speed=0.81x    
frame=  174 fps= 21 q=16.0 size=     512kB time=00:00:06.84 bitrate= 613.3kbits/s speed=0.822x    
frame=  186 fps= 21 q=15.0 size=     512kB time=00:00:07.36 bitrate= 569.9kbits/s speed=0.832x    
frame=  200 fps= 21 q=14.0 size=     512kB time=00:00:07.88 bitrate= 532.3kbits/s speed=0.842x    
frame=  213 fps= 22 q=14.0 size=     512kB time=00:00:08.40 bitrate= 499.4kbits/s speed=0.85x    
frame=  226 fps= 22 q=14.0 size=     512kB time=00:00:08.92 bitrate= 470.3kbits/s speed=0.858x    
frame=  239 fps= 22 q=13.0 size=     512kB time=00:00:09.44 bitrate= 444.4kbits/s speed=0.864x    
frame=  251 fps= 22 q=15.0 size=     512kB time=00:00:09.96 bitrate= 421.2kbits/s speed=0.871x    
frame=  265 fps= 22 q=19.0 size=     768kB time=00:00:10.48 bitrate= 600.4kbits/s speed=0.876x    
frame=  277 fps= 22 q=14.0 size=     768kB time=00:00:11.00 bitrate= 572.0kbits/s speed=0.881x    
frame=  290 fps= 22 q=16.0 size=    1024kB time=00:00:11.52 bitrate= 728.2kbits/s speed=0.886x    
frame=  303 fps= 22 q=16.0 size=    1024kB time=00:00:12.04 bitrate= 696.8kbits/s speed=0.89x    
frame=  316 fps= 23 q=15.0 size=    1024kB time=00:00:12.56 bitrate= 667.9kbits/s speed=0.895x    
frame=  329 fps= 23 q=13.0 size=    1024kB time=00:00:13.08 bitrate= 641.4kbits/s speed=0.898x    
frame=  342 fps= 23 q=13.0 size=    1024kB time=00:00:13.60 bitrate= 616.8kbits/s speed=0.902x    
frame=  356 fps= 23 q=13.0 size=    1280kB time=00:00:14.12 bitrate= 742.6kbits/s speed=0.905x    
frame=  368 fps= 23 q=12.0 size=    1280kB time=00:00:14.64 bitrate= 716.3kbits/s speed=0.908x    
frame=  381 fps= 23 q=11.0 size=    1280kB time=00:00:15.16 bitrate= 691.7kbits/s speed=0.911x    
frame=  394 fps= 23 q=11.0 size=    1280kB time=00:00:15.68 bitrate= 668.8kbits/s speed=0.914x    
frame=  408 fps= 23 q=12.0 size=    1280kB time=00:00:16.20 bitrate= 647.3kbits/s speed=0.916x    
frame=  421 fps= 23 q=11.0 size=    1280kB time=00:00:16.72 bitrate= 627.2kbits/s speed=0.919x    
frame=  433 fps= 23 q=9.0 size=    1280kB time=00:00:17.24 bitrate= 608.2kbits/s speed=0.921x    
frame=  447 fps= 23 q=10.0 size=    1280kB time=00:00:17.76 bitrate= 590.4kbits/s speed=0.923x    
frame=  460 fps= 23 q=10.0 size=    1280kB time=00:00:18.28 bitrate= 573.6kbits/s speed=0.925x    
frame=  472 fps= 23 q=10.0 size=    1280kB time=00:00:18.80 bitrate= 557.8kbits/s speed=0.927x    
frame=  486 fps= 23 q=9.0 size=    1280kB time=00:00:19.32 bitrate= 542.8kbits/s speed=0.929x    
frame=  499 fps= 23 q=22.0 size=    1280kB time=00:00:19.84 bitrate= 528.5kbits/s speed=0.931x    
frame=  511 fps= 23 q=12.0 size=    1536kB time=00:00:20.36 bitrate= 618.0kbits/s speed=0.932x    
frame=  525 fps= 23 q=15.0 size=    1536kB time=00:00:20.88 bitrate= 602.6kbits/s speed=0.934x    
frame=  538 fps= 24 q=16.0 size=    1792kB time=00:00:21.40 bitrate= 686.0kbits/s speed=0.935x    
frame=  550 fps= 24 q=15.0 size=    1792kB time=00:00:21.92 bitrate= 669.7kbits/s speed=0.937x    
frame=  563 fps= 24 q=12.0 size=    1792kB time=00:00:22.44 bitrate= 654.2kbits/s speed=0.938x    
frame=  577 fps= 24 q=11.0 size=    1792kB time=00:00:22.96 bitrate= 639.4kbits/s speed=0.939x    
frame=  590 fps= 24 q=11.0 size=    1792kB time=00:00:23.48 bitrate= 625.2kbits/s speed=0.94x    
frame=  603 fps= 24 q=10.0 size=    2048kB time=00:00:24.00 bitrate= 699.1kbits/s speed=0.942x    
frame=  616 fps= 24 q=9.0 size=    2048kB time=00:00:24.52 bitrate= 684.2kbits/s speed=0.943x    
frame=  628 fps= 24 q=9.0 size=    2048kB time=00:00:25.04 bitrate= 670.0kbits/s speed=0.944x    
frame=  641 fps= 24 q=9.0 size=    2048kB time=00:00:25.56 bitrate= 656.4kbits/s speed=0.945x    
frame=  654 fps= 24 q=9.0 size=    2048kB time=00:00:26.08 bitrate= 643.3kbits/s speed=0.946x    
frame=  667 fps= 24 q=7.0 size=    2048kB time=00:00:26.60 bitrate= 630.7kbits/s speed=0.947x    
frame=  680 fps= 24 q=8.0 size=    2048kB time=00:00:27.12 bitrate= 618.6kbits/s speed=0.948x    
frame=  694 fps= 24 q=8.0 size=    2048kB time=00:00:27.64 bitrate= 607.0kbits/s speed=0.949x    
frame=  707 fps= 24 q=8.0 size=    2048kB time=00:00:28.16 bitrate= 595.8kbits/s speed=0.95x    
frame=  719 fps= 24 q=9.0 size=    2048kB time=00:00:28.68 bitrate= 585.0kbits/s speed=0.951x    
frame=  733 fps= 24 q=9.0 size=    2048kB time=00:00:29.20 bitrate= 574.6kbits/s speed=0.952x    
frame=  746 fps= 24 q=10.0 size=    2048kB time=00:00:29.72 bitrate= 564.5kbits/s speed=0.953x    
frame=  759 fps= 24 q=15.0 size=    2304kB time=00:00:30.24 bitrate= 624.2kbits/s speed=0.953x    
frame=  771 fps= 24 q=16.0 size=    2304kB time=00:00:30.76 bitrate= 613.6kbits/s speed=0.954x    
